input_url,n_comments,n_replies,n_total_text_rows,pos_rate,neu_rate,neg_rate,high_rate,med_rate,low_rate,confusion_rate,negative_or_confusion_rate,replies_to_comments_ratio,top_theme_1,top_theme_2,top_theme_3,top_theme_share_1,top_theme_share_2,top_theme_share_3,winner_score
https://www.instagram.com/reel/DXACv8kmL-m/,64,34,91,0.0,0.8681318681318682,0.13186813186813187,0.42857142857142855,0.15384615384615385,0.4175824175824176,0.5054945054945055,0.6263736263736264,0.53125,Movie Name Requests,MIXED,MIXED,0.34065934065934067,0.2087912087912088,0.1978021978021978,0.11538461538461536
https://www.instagram.com/reel/DW4VNdsDuPA/,10,6,16,0.0625,0.75,0.1875,0.375,0.0625,0.5625,0.4375,0.625,0.6,Movie Name Requests,Short Minimal Reactions,MIXED,0.4375,0.3125,0.1875,0.0625
https://www.instagram.com/reel/DW28Wv1kjmN/,52,4,48,0.041666666666666664,0.8333333333333334,0.125,0.3333333333333333,0.125,0.5416666666666666,0.5416666666666666,0.6666666666666666,0.07692307692307693,MIXED,Movie Name Requests,Short Minimal Reactions,0.3333333333333333,0.20833333333333334,0.16666666666666666,0.0
https://www.instagram.com/reel/DW40azaiJZ1/,12,1,12,0.08333333333333333,0.5833333333333334,0.3333333333333333,0.3333333333333333,0.0,0.6666666666666666,0.4166666666666667,0.6666666666666666,0.08333333333333333,MIXED,Movie Name Requests,Short Minimal Reactions,0.25,0.25,0.16666666666666666,0.0
https://www.instagram.com/reel/DW_7gysDuLt/,4,1,4,0.25,0.5,0.25,0.25,0.0,0.75,0.25,0.5,0.25,MIXED,Smooth Move Compliments,Movie Name Requests,0.5,0.25,0.25,0.0
https://www.instagram.com/reel/DW3elyYjcp2/,4,3,7,0.14285714285714285,0.8571428571428571,0.0,0.2857142857142857,0.0,0.7142857142857143,0.5714285714285714,0.5714285714285714,0.75,Knee Pun Wordplay,Smooth Move Compliments,MIXED,0.7142857142857143,0.14285714285714285,0.14285714285714285,0.0
https://www.instagram.com/reel/DXCkrD_iM2x/,1,0,1,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Short Minimal Reactions,,,1.0,0.0,0.0,0.0
https://www.instagram.com/reel/DW7paYcD-RJ/,2,0,1,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,MIXED,,,1.0,0.0,0.0,0.0
https://www.instagram.com/reel/DXDnNg_j1e5/,1,0,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,MIXED,,,1.0,0.0,0.0,0.0
https://www.instagram.com/reel/DW6-wJvStCW/,6,1,4,0.0,1.0,0.0,0.25,0.25,0.5,0.5,0.5,0.16666666666666666,Smooth Move Compliments,,,1.0,0.0,0.0,0.0
https://www.instagram.com/reel/DXCXstvDCrW/,2,0,2,0.5,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Smooth Move Compliments,Critical Comments About Woman,,0.5,0.5,0.0,0.0
https://www.instagram.com/reel/DXCv8TMDOCG/,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0
https://www.instagram.com/reel/DW6Y_KWPzFW/,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0
https://www.instagram.com/reel/DXAEtnzkwvL/,1,1,2,0.0,1.0,0.0,0.5,0.5,0.0,1.0,1.0,1.0,Movie Name Requests,MIXED,,0.5,0.5,0.0,0.0
https://www.instagram.com/reel/DXAK2BrkttL/,2,3,5,0.0,1.0,0.0,0.2,0.2,0.6,0.4,0.4,1.5,Short Minimal Reactions,MIXED,,0.6,0.4,0.0,0.0
https://www.instagram.com/reel/DW6KjBcJpTf/,4,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0
https://www.instagram.com/reel/DW6Xcx5PZ65/,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0
https://www.instagram.com/reel/DXAvh_OvwfP/,1,1,2,0.0,0.5,0.5,0.5,0.0,0.5,1.0,1.0,1.0,MIXED,Knee Pun Wordplay,,0.5,0.5,0.0,0.0
https://www.instagram.com/reel/DW9KVp7vE-Z/,2,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0
https://www.instagram.com/reel/DXCvkPJTZ5o/,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0
https://www.instagram.com/reel/DXBKtaZD_RN/,1,1,2,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,Smooth Move Compliments,,,1.0,0.0,0.0,0.0
https://www.instagram.com/reel/DW9kMilyEJK/,1,0,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,MIXED,,,1.0,0.0,0.0,0.0
https://www.instagram.com/reel/DW9SW_hvM7r/,1,0,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,MIXED,,,1.0,0.0,0.0,0.0
https://www.instagram.com/reel/DW6prcmPyLj/,1,0,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Critical Comments About Woman,,,1.0,0.0,0.0,0.0
https://www.instagram.com/reel/DXC0Dh3E5nK/,2,1,3,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.5,Father-Daughter Relationships,Short Minimal Reactions,MIXED,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
https://www.instagram.com/reel/DW82lk4JieT/,2,0,2,0.0,1.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,MIXED,Smooth Move Compliments,,0.5,0.5,0.0,0.0
https://www.instagram.com/reel/DXCyaZ5E8fW/,1,0,1,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Short Minimal Reactions,,,1.0,0.0,0.0,0.0
https://www.instagram.com/reel/DW5Kw2ik6XK/,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0
https://www.instagram.com/reel/DW-9LVOkwN-/,2,0,2,0.0,1.0,0.0,0.5,0.5,0.0,1.0,1.0,0.0,Movie Name Requests,Father-Daughter Relationships,,0.5,0.5,0.0,0.0
https://www.instagram.com/reel/DW-Ff_LExOc/,2,0,2,0.0,0.5,0.5,0.5,0.5,0.0,1.0,1.0,0.0,Father-Daughter Relationships,MIXED,,0.5,0.5,0.0,0.0
https://www.instagram.com/reel/DXEAJFvidhA/,1,2,3,0.0,1.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.6666666666666666,0.6666666666666666,2.0,MIXED,Critical Comments About Woman,MIXED,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0
https://www.instagram.com/reel/DXCmPTHCTkh/,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0
https://www.instagram.com/reel/DW3PN7dCL-0/,13,3,12,0.16666666666666666,0.8333333333333334,0.0,0.08333333333333333,0.0,0.9166666666666666,0.3333333333333333,0.3333333333333333,0.23076923076923078,MIXED,Critical Comments About Woman,AI Content Questions,0.25,0.16666666666666666,0.16666666666666666,-0.08333333333333333
https://www.instagram.com/reel/DW9SgHhuO6i/,25,21,45,0.08888888888888889,0.7555555555555555,0.15555555555555556,0.022222222222222223,0.022222222222222223,0.9555555555555556,0.17777777777777778,0.3333333333333333,0.84,Traffic Stop Debate,MIXED,MIXED,0.2222222222222222,0.2,0.15555555555555556,-0.14444444444444443
https://www.instagram.com/reel/DW_x3ZrO2Wz/,106,17,89,0.11235955056179775,0.8089887640449438,0.07865168539325842,0.12359550561797752,0.12359550561797752,0.7528089887640449,0.4943820224719101,0.550561797752809,0.16037735849056603,MIXED,MIXED,Smooth Move Compliments,0.3146067415730337,0.25842696629213485,0.15730337078651685,-0.15168539325842698
https://www.instagram.com/reel/DW4F2bDCLLd/,17,7,22,0.18181818181818182,0.8181818181818182,0.0,0.09090909090909091,0.13636363636363635,0.7727272727272727,0.5,0.5,0.4117647058823529,Knee Pun Wordplay,Smooth Move Compliments,MIXED,0.2727272727272727,0.18181818181818182,0.18181818181818182,-0.1590909090909091
https://www.instagram.com/reel/DXAsGAvE2Wf/,2,1,3,0.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.0,0.6666666666666666,1.0,1.0,0.5,MIXED,Father-Daughter Relationships,,0.6666666666666666,0.3333333333333333,0.0,-0.16666666666666669
https://www.instagram.com/reel/DW3TZpmiO1v/,2,2,4,0.0,1.0,0.0,0.0,0.5,0.5,0.5,0.5,1.0,MIXED,MIXED,MIXED,0.5,0.25,0.25,-0.25
https://www.instagram.com/reel/DXBnXpfDGic/,1,1,2,0.0,1.0,0.0,0.0,0.0,1.0,0.5,0.5,1.0,Knee Pun Wordplay,MIXED,,0.5,0.5,0.0,-0.25
https://www.instagram.com/reel/DW20px2kiNY/,177,23,162,0.12962962962962962,0.7839506172839507,0.08641975308641975,0.11728395061728394,0.345679012345679,0.5370370370370371,0.7098765432098766,0.7716049382716049,0.12994350282485875,MIXED,Smooth Move Compliments,MIXED,0.43209876543209874,0.19753086419753085,0.08024691358024691,-0.2685185185185185
https://www.instagram.com/reel/DXAkYV4DpiT/,17,1,13,0.15384615384615385,0.8461538461538461,0.0,0.07692307692307693,0.23076923076923078,0.6923076923076923,0.6923076923076923,0.6923076923076923,0.058823529411764705,MIXED,Short Minimal Reactions,Smooth Move Compliments,0.46153846153846156,0.23076923076923078,0.07692307692307693,-0.2692307692307692
https://www.instagram.com/reel/DXCSL_Xjuxm/,10,1,10,0.2,0.4,0.4,0.1,0.3,0.6,0.6,0.8,0.1,Critical Comments About Woman,MIXED,MIXED,0.5,0.3,0.2,-0.30000000000000004
https://www.instagram.com/reel/DW-T4cfJPNR/,4,0,4,0.0,0.75,0.25,0.0,0.5,0.5,0.5,0.75,0.0,Smooth Move Compliments,MIXED,,0.75,0.25,0.0,-0.375
https://www.instagram.com/reel/DW34A7uCOwb/,65,6,69,0.11594202898550725,0.6666666666666666,0.21739130434782608,0.028985507246376812,0.15942028985507245,0.8115942028985508,0.7246376811594203,0.8695652173913043,0.09230769230769231,MIXED,Critical Comments About Woman,MIXED,0.5362318840579711,0.2318840579710145,0.13043478260869565,-0.40579710144927533
https://www.instagram.com/reel/DW9ZM2xki_o/,9,0,8,0.125,0.875,0.0,0.0,0.125,0.875,0.875,0.875,0.0,MIXED,Short Minimal Reactions,,0.875,0.125,0.0,-0.4375
