"postUrl","totalItems","comments","replies"
"https://www.instagram.com/reel/DXBCBTpkxo6/","2","1","0"
"https://www.instagram.com/reel/DXCrVF9k4O8/","2","1","0"
"https://www.instagram.com/reel/DW9pZ47E9QO/","2","1","0"
"https://www.instagram.com/reel/DXEN--XzEiy/","2","1","0"
"https://www.instagram.com/reel/DXCZdLWj7UN/","2","1","0"
"https://www.instagram.com/reel/DXBDf1nETu3/","2","1","0"
"https://www.instagram.com/reel/DXAL27BE8Mz/","2","1","0"
"https://www.instagram.com/reel/DXDdZY5CfpC/","2","1","0"
"https://www.instagram.com/reel/DW-DMoBE58z/","2","1","0"
"https://www.instagram.com/reel/DW_3nIRDwuG/","2","1","0"
"https://www.instagram.com/reel/DW9SW_hvM7r/","2","1","0"
"https://www.instagram.com/reel/DXCsc_EjzPb/","3","1","1"
"https://www.instagram.com/reel/DW9kMilyEJK/","2","1","0"
"https://www.instagram.com/reel/DXALwfNjNYh/","2","1","0"
"https://www.instagram.com/reel/DW6prcmPyLj/","2","1","0"
"https://www.instagram.com/reel/DW7nuj-JJSH/","2","1","0"
"https://www.instagram.com/reel/DW46bcVSsYk/","2","1","0"
"https://www.instagram.com/reel/DXBnXpfDGic/","3","1","1"
"https://www.instagram.com/reel/DXAYLz5kxvZ/","3","1","1"
