post_id,cluster_id,profile,input_url,views,winner_score,high_rate_raw,high_rate_shrunk,n_labeled,k_high
DXACv8kmL-m,1,moovieshub.ig,https://www.instagram.com/reel/DXACv8kmL-m/,219578,0.11538461538461536,0.42857142857142855,0.43302760561880593,83,37
DXAEtnzkwvL,2,terrifying.history_,https://www.instagram.com/reel/DXAEtnzkwvL/,7741,0.0,0.5,0.28696291171459476,2,1
DXAK2BrkttL,0,humoured.ig,https://www.instagram.com/reel/DXAK2BrkttL/,6605,0.0,0.2,0.24782018771239483,3,1
DXALwfNjNYh,0,millionairegoldmindset,https://www.instagram.com/reel/DXALwfNjNYh/,3886,1.0,1.0,0.3407900469135897,1,1
DXAYLz5kxvZ,0,podcast_pulse.03,https://www.instagram.com/reel/DXAYLz5kxvZ/,3337,-0.5,0.0,0.1532148133150055,1,0
DXAZjpXE6xs,2,clipping_universe01,https://www.instagram.com/reel/DXAZjpXE6xs/,1740,1.0,1.0,0.3407900469135897,1,1
DXAbN4ykzQb,0,clipping_universe01,https://www.instagram.com/reel/DXAbN4ykzQb/,1497,-0.5,0.0,0.1532148133150055,1,0
DXAkYV4DpiT,1,iconicbloopers,https://www.instagram.com/reel/DXAkYV4DpiT/,156131,-0.2692307692307692,0.07692307692307693,0.10482935588843714,13,1
DXAvh_OvwfP,1,humourjoyusaa,https://www.instagram.com/reel/DXAvh_OvwfP/,5327,0.0,0.5,0.28696291171459476,2,1
DXAw_LOkwxo,5,spade.clipper,https://www.instagram.com/reel/DXAw_LOkwxo/,2060,0.3333333333333333,0.6666666666666666,0.3407900469135897,1,1
DXBKtaZD_RN,1,podcast_pulse.03,https://www.instagram.com/reel/DXBKtaZD_RN/,4379,0.0,0.0,0.1532148133150055,1,0
DXBnXpfDGic,1,popci_nema,https://www.instagram.com/reel/DXBnXpfDGic/,3474,-0.25,0.0,0.1532148133150055,1,0
DXBqnOTjH_t,2,popci_nema,https://www.instagram.com/reel/DXBqnOTjH_t/,9269,0.3333333333333333,0.6666666666666666,0.28696291171459476,2,1
DXC0Dh3E5nK,3,spade.clipper,https://www.instagram.com/reel/DXC0Dh3E5nK/,3213,0.0,0.3333333333333333,0.1532148133150055,1,0
DXC9Eo2jLTV,2,popci_nema,https://www.instagram.com/reel/DXC9Eo2jLTV/,5654,0.75,1.0,0.3407900469135897,1,1
DXCKDsiE_zc,1,sus_meme_dealer,https://www.instagram.com/reel/DXCKDsiE_zc/,2391,-0.5,0.0,0.1290148270023574,2,0
DXCSL_Xjuxm,1,iconicbloopers,https://www.instagram.com/reel/DXCSL_Xjuxm/,80798,-0.30000000000000004,0.1,0.12677365885266575,10,1
DXCXcYrjGNc,1,millionairegoldmindset,https://www.instagram.com/reel/DXCXcYrjGNc/,54292,0.5,0.5,0.3407900469135897,1,1
DXCXstvDCrW,1,millionairegoldmindset,https://www.instagram.com/reel/DXCXstvDCrW/,17672,0.0,0.0,0.1290148270023574,2,0
DXCZdLWj7UN,1,podcast_pulse.03,https://www.instagram.com/reel/DXCZdLWj7UN/,2432,-0.5,0.0,0.1532148133150055,1,0
DXCey5pDdXZ,2,dailydadly.jokes,https://www.instagram.com/reel/DXCey5pDdXZ/,1952,0.75,1.0,0.3407900469135897,1,1
DXCkrD_iM2x,3,dripyhumour,https://www.instagram.com/reel/DXCkrD_iM2x/,57597,0.0,0.0,0.1532148133150055,1,0
DXCqxVLkZcx,0,notlaughter,https://www.instagram.com/reel/DXCqxVLkZcx/,9981,0.5,1.0,0.3407900469135897,1,1
DXCsc_EjzPb,4,podcast_pulse.03,https://www.instagram.com/reel/DXCsc_EjzPb/,3599,-0.5,0.0,0.1532148133150055,1,0
DXCv3kzj0yw,4,dopamemehq,https://www.instagram.com/reel/DXCv3kzj0yw/,4279,-0.5,0.0,0.1290148270023574,2,0
DXCyaZ5E8fW,3,spade.clipper,https://www.instagram.com/reel/DXCyaZ5E8fW/,1992,0.0,0.0,0.1532148133150055,1,0
DXD3dzeCbF-,0,w.memessss,https://www.instagram.com/reel/DXD3dzeCbF-/,4679,-0.5,0.0,0.1532148133150055,1,0
DXDdcb8j-o_,4,clipper_.media,https://www.instagram.com/reel/DXDdcb8j-o_/,2201,-0.5,0.0,0.1532148133150055,1,0
DXDgQcfk0DA,0,spad_official_,https://www.instagram.com/reel/DXDgQcfk0DA/,4395,-0.5,0.0,0.1532148133150055,1,0
DXDnNg_j1e5,4,improvingclip,https://www.instagram.com/reel/DXDnNg_j1e5/,42276,0.0,0.0,0.1532148133150055,1,0
DXDougNoQU5,2,trend_istg,https://www.instagram.com/reel/DXDougNoQU5/,8205,0.5,0.7142857142857143,0.38422361269969824,3,2
DXEAJFvidhA,1,sharp_clipper,https://www.instagram.com/reel/DXEAJFvidhA/,1379,0.0,0.3333333333333333,0.24782018771239483,3,1
DXEKdcRkh46,0,crazy_memes_clips,https://www.instagram.com/reel/DXEKdcRkh46/,821,-0.5,0.0,0.1290148270023574,2,0
DXEKoWclSk-,0,crazy_memes_clips,https://www.instagram.com/reel/DXEKoWclSk-/,803,-0.5,0.0,0.1114167627250914,3,0
DXEN--XzEiy,0,w.memessss,https://www.instagram.com/reel/DXEN--XzEiy/,2508,-0.5,0.0,0.1532148133150055,1,0
